@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
72,'2026/05/31 15:54:40:590',1,0.139283,0.562824,0.98234,0,0.5,1
73,'2026/05/31 15:54:40:620',1,0.139218,0.563504,0.977744,0,0.5,1
74,'2026/05/31 15:54:40:656',1,0.139442,0.562831,0.984386,0,0.5,1
75,'2026/05/31 15:54:40:688',1,0.13948,0.562084,0.986364,0,0.5,1
76,'2026/05/31 15:54:40:723',1,0.139627,0.561876,0.983253,0,0.5,1
77,'2026/05/31 15:54:40:754',1,0.140012,0.561185,0.985785,0,0.5,1
78,'2026/05/31 15:54:40:788',1,0.14019,0.561357,0.982103,0,0.5,1
79,'2026/05/31 15:54:40:823',1,0.140548,0.5611,0.983012,0,0.5,1
80,'2026/05/31 15:54:40:854',1,0.140885,0.561372,0.976443,0,0.5,1
81,'2026/05/31 15:54:40:888',1,0.140938,0.561369,0.981927,0,0.5,1
82,'2026/05/31 15:54:40:918',1,0.140797,0.561215,0.983698,0,0.5,1
83,'2026/05/31 15:54:40:951',1,0.140439,0.561437,0.981765,0,0.5,1
84,'2026/05/31 15:54:40:985',1,0.140221,0.561058,0.984179,0,0.5,1
85,'2026/05/31 15:54:41:019',1,0.140107,0.561227,0.978219,0,0.5,1
86,'2026/05/31 15:54:41:052',1,0.139631,0.561497,0.977841,0,0.5,1
87,'2026/05/31 15:54:41:085',1,0.139244,0.561715,0.977447,0,0.5,1
88,'2026/05/31 15:54:41:119',1,0.138808,0.561891,0.976065,0,0.5,1
89,'2026/05/31 15:54:41:152',1,0.138396,0.561385,0.981971,0,0.5,1
90,'2026/05/31 15:54:41:185',1,0.138072,0.561172,0.979625,0,0.5,1
91,'2026/05/31 15:54:41:219',1,0.138127,0.560319,0.974432,0,0.5,1
92,'2026/05/31 15:54:41:252',1,0.137966,0.559887,0.971139,0,0.5,1
93,'2026/05/31 15:54:41:289',1,0.137387,0.559585,0.969198,0,0.5,1
94,'2026/05/31 15:54:41:322',1,0.13726,0.558749,0.973388,0,0.5,1
95,'2026/05/31 15:54:41:354',1,0.13808,0.557465,0.982332,0,0.5,1
96,'2026/05/31 15:54:41:387',1,0.138992,0.557695,0.979765,0,0.5,1
97,'2026/05/31 15:54:41:421',1,0.139972,0.557588,0.979761,0,0.5,1
98,'2026/05/31 15:54:41:455',1,0.140896,0.557272,0.982412,0,0.5,1
99,'2026/05/31 15:54:41:491',1,0.141911,0.557752,0.976398,0,0.5,1
100,'2026/05/31 15:54:41:522',1,0.14207,0.55829,0.975121,0,0.5,1
